nodeNum,byzantineNodeNum,byzantinePercentage,meanTime,stdTime,medianTime,meanMsgCount,stdMsgCount,networkProfile,networkMean,networkStd
4,0,0,3867.15,731,4000,23.9,3.88,fast-stable,0.1,0.05
4,0,10,3808.84,588,4000,24.5,3.41,fast-stable,0.1,0.05
4,0,20,4003.05,727,4077.61,23.2,2.84,fast-stable,0.1,0.05
4,1,30,5000,0,5000,16.15,4.52,fast-stable,0.1,0.05
10,0,0,3305.15,263,3255.18,199.9,25.27,fast-stable,0.1,0.05
10,1,10,3600.41,517,3286.77,182.45,34.09,fast-stable,0.1,0.05
10,2,20,4094.51,595,4130.79,157.7,29.19,fast-stable,0.1,0.05
10,3,30,4602.81,560,5000,130.9,37.05,fast-stable,0.1,0.05
20,0,0,3226.23,203,3205.56,886.75,117.19,fast-stable,0.1,0.05
20,2,10,3691.79,469,4000,857.85,148.31,fast-stable,0.1,0.05
20,4,20,4469.95,407,4260.62,851.95,148.53,fast-stable,0.1,0.05
20,6,30,5000,0,5000,765.2,176.56,fast-stable,0.1,0.05
36,0,0,3291.59,254,3216.73,3346.05,605.88,fast-stable,0.1,0.05
36,3,10,3372.46,264,3289.93,3033.5,673.76,fast-stable,0.1,0.05
36,7,20,4039.95,482,4053.18,3072.95,553.82,fast-stable,0.1,0.05
36,10,30,4755.74,387,5000,3322.55,707.93,fast-stable,0.1,0.05
50,0,0,3214.41,79,3221.32,6015.85,602.95,fast-stable,0.1,0.05
50,5,10,3317.45,241,3258.23,5708.8,1014.75,fast-stable,0.1,0.05
50,10,20,4172.51,472,4203.52,6452.1,1376.59,fast-stable,0.1,0.05
50,15,30,4861.67,284,5000,6065.5,1158.58,fast-stable,0.1,0.05
75,0,0,3209.32,36,3222.85,13847.7,1347.78,fast-stable,0.1,0.05
75,7,10,3300.81,177,3269.05,13241.3,2029.79,fast-stable,0.1,0.05
75,15,20,4048.84,189,4000,14102.65,2259.11,fast-stable,0.1,0.05
75,22,30,4822.9,320,5000,15551.95,2715.28,fast-stable,0.1,0.05
100,0,0,3175.74,38,3188.62,23663.05,1371.95,fast-stable,0.1,0.05
100,10,10,3350.11,227,3281,24262.75,3802.43,fast-stable,0.1,0.05
100,20,20,3997.75,226,4000,24833.45,2315.85,fast-stable,0.1,0.05
100,30,30,4929.58,217,5000,28788.05,5241.52,fast-stable,0.1,0.05
4,0,0,4194.25,630,4023.7,23.35,4.34,medium-stable,0.5,0.2
4,0,10,4313.55,588,4213.37,24.45,2.37,medium-stable,0.5,0.2
4,0,20,4141.97,628,4000,24.85,3.15,medium-stable,0.5,0.2
4,1,30,5000,0,5000,18.15,4.85,medium-stable,0.5,0.2
10,0,0,3640.35,325,3784.38,183.75,19.27,medium-stable,0.5,0.2
10,1,10,4014.29,578,3958.06,170.4,28.97,medium-stable,0.5,0.2
10,2,20,4559.3,523,4914.67,156.7,40.92,medium-stable,0.5,0.2
10,3,30,4837.19,337,5000,129.45,34.85,medium-stable,0.5,0.2
20,0,0,3713.4,319,3724.01,883.3,129.7,medium-stable,0.5,0.2
20,2,10,4016.96,397,4000,828.7,95.44,medium-stable,0.5,0.2
20,4,20,4746.65,328,4955.05,785.45,131.23,medium-stable,0.5,0.2
20,6,30,4884.48,294,5000,706.05,123.72,medium-stable,0.5,0.2
36,0,0,3790.35,207,3838.67,2984.75,374.82,medium-stable,0.5,0.2
36,3,10,3959.11,146,4000,2928.45,395.93,medium-stable,0.5,0.2
36,7,20,4600.56,392,4680.38,3112.4,582.53,medium-stable,0.5,0.2
36,10,30,4990.55,42,5000,2786.45,428.9,medium-stable,0.5,0.2
50,0,0,3748.43,193,3769.75,5969.45,734.58,medium-stable,0.5,0.2
50,5,10,4033.88,211,4000,5889.85,734.72,medium-stable,0.5,0.2
50,10,20,4606.5,393,4704.9,5802.75,1146.06,medium-stable,0.5,0.2
50,15,30,5000,0,5000,5055.9,582.04,medium-stable,0.5,0.2
75,0,0,3742.7,170,3749.01,13782.2,1302.66,medium-stable,0.5,0.2
75,7,10,3962.99,61,4000,13042.75,1199.61,medium-stable,0.5,0.2
75,15,20,4479.49,320,4493.27,13155.1,3003.12,medium-stable,0.5,0.2
75,22,30,5000,0,5000,13097.95,1377.81,medium-stable,0.5,0.2
100,0,0,3695.27,124,3687.6,23665,2299.44,medium-stable,0.5,0.2
100,10,10,3966.6,93,4000,23713.5,2532.76,medium-stable,0.5,0.2
100,20,20,4425.07,287,4339.14,23618.9,3139.02,medium-stable,0.5,0.2
100,30,30,5000,0,5000,22444.25,2405.17,medium-stable,0.5,0.2
4,0,0,4595.11,507,4870.39,24.95,4.48,slow-variable,1,0.5
4,0,10,4553.35,521,4865.1,26.3,4.24,slow-variable,1,0.5
4,0,20,4554.06,497,4837.12,25.9,3.24,slow-variable,1,0.5
4,1,30,5000,0,5000,17.25,5.28,slow-variable,1,0.5
10,0,0,4446.79,402,4350.9,225.1,30.97,slow-variable,1,0.5
10,1,10,4613.17,435,4701.03,201.8,45.33,slow-variable,1,0.5
10,2,20,4890.67,227,5000,155.2,19.62,slow-variable,1,0.5
10,3,30,4962.32,117,5000,120.25,27.84,slow-variable,1,0.5
20,0,0,4374,272,4402.13,973.1,137.44,slow-variable,1,0.5
20,2,10,4729.3,291,4770.08,869.4,102.82,slow-variable,1,0.5
20,4,20,4942.41,164,5000,717.05,101.38,slow-variable,1,0.5
20,6,30,5000,0,5000,541.2,79.18,slow-variable,1,0.5
