nodeNum,byzantineNodeNum,byzantinePercentage,meanTime,stdTime,medianTime,meanMsgCount,stdMsgCount,networkProfile,networkMean,networkStd
4,0,0,3867.15,731,4000,23.9,3.88,fast-stable,0.1,0.05
4,0,10,3808.84,588,4000,24.5,3.41,fast-stable,0.1,0.05
4,0,20,4003.05,727,4077.61,23.2,2.84,fast-stable,0.1,0.05
4,1,30,5000,0,5000,16.15,4.52,fast-stable,0.1,0.05
10,0,0,3305.15,263,3255.18,199.9,25.27,fast-stable,0.1,0.05
10,1,10,3600.41,517,3286.77,182.45,34.09,fast-stable,0.1,0.05
10,2,20,4094.51,595,4130.79,157.7,29.19,fast-stable,0.1,0.05
10,3,30,4602.81,560,5000,130.9,37.05,fast-stable,0.1,0.05
20,0,0,3226.23,203,3205.56,886.75,117.19,fast-stable,0.1,0.05
20,2,10,3691.79,469,4000,857.85,148.31,fast-stable,0.1,0.05
20,4,20,4469.95,407,4260.62,851.95,148.53,fast-stable,0.1,0.05
20,6,30,5000,0,5000,765.2,176.56,fast-stable,0.1,0.05
36,0,0,3291.59,254,3216.73,3346.05,605.88,fast-stable,0.1,0.05
36,3,10,3372.46,264,3289.93,3033.5,673.76,fast-stable,0.1,0.05
36,7,20,4039.95,482,4053.18,3072.95,553.82,fast-stable,0.1,0.05
36,10,30,4755.74,387,5000,3322.55,707.93,fast-stable,0.1,0.05
50,0,0,3214.41,79,3221.32,6015.85,602.95,fast-stable,0.1,0.05
50,5,10,3317.45,241,3258.23,5708.8,1014.75,fast-stable,0.1,0.05
50,10,20,4172.51,472,4203.52,6452.1,1376.59,fast-stable,0.1,0.05
50,15,30,4861.67,284,5000,6065.5,1158.58,fast-stable,0.1,0.05
75,0,0,3209.32,36,3222.85,13847.7,1347.78,fast-stable,0.1,0.05
75,7,10,3300.81,177,3269.05,13241.3,2029.79,fast-stable,0.1,0.05
75,15,20,4048.84,189,4000,14102.65,2259.11,fast-stable,0.1,0.05
75,22,30,4822.9,320,5000,15551.95,2715.28,fast-stable,0.1,0.05
100,0,0,3175.74,38,3188.62,23663.05,1371.95,fast-stable,0.1,0.05
100,10,10,3350.11,227,3281,24262.75,3802.43,fast-stable,0.1,0.05
100,20,20,3997.75,226,4000,24833.45,2315.85,fast-stable,0.1,0.05
100,30,30,4929.58,217,5000,28788.05,5241.52,fast-stable,0.1,0.05
