nodeNum,byzantineNodeNum,byzantinePercentage,meanTime,stdTime,medianTime,meanMsgCount,stdMsgCount,networkProfile,networkMean,networkStd
4,0,0,4194.25,630,4023.7,23.35,4.34,medium-stable,0.5,0.2
4,0,10,4313.55,588,4213.37,24.45,2.37,medium-stable,0.5,0.2
4,0,20,4141.97,628,4000,24.85,3.15,medium-stable,0.5,0.2
4,1,30,5000,0,5000,18.15,4.85,medium-stable,0.5,0.2
10,0,0,3640.35,325,3784.38,183.75,19.27,medium-stable,0.5,0.2
10,1,10,4014.29,578,3958.06,170.4,28.97,medium-stable,0.5,0.2
10,2,20,4559.3,523,4914.67,156.7,40.92,medium-stable,0.5,0.2
10,3,30,4837.19,337,5000,129.45,34.85,medium-stable,0.5,0.2
20,0,0,3713.4,319,3724.01,883.3,129.7,medium-stable,0.5,0.2
20,2,10,4016.96,397,4000,828.7,95.44,medium-stable,0.5,0.2
20,4,20,4746.65,328,4955.05,785.45,131.23,medium-stable,0.5,0.2
20,6,30,4884.48,294,5000,706.05,123.72,medium-stable,0.5,0.2
36,0,0,3790.35,207,3838.67,2984.75,374.82,medium-stable,0.5,0.2
36,3,10,3959.11,146,4000,2928.45,395.93,medium-stable,0.5,0.2
36,7,20,4600.56,392,4680.38,3112.4,582.53,medium-stable,0.5,0.2
36,10,30,4990.55,42,5000,2786.45,428.9,medium-stable,0.5,0.2
50,0,0,3748.43,193,3769.75,5969.45,734.58,medium-stable,0.5,0.2
50,5,10,4033.88,211,4000,5889.85,734.72,medium-stable,0.5,0.2
50,10,20,4606.5,393,4704.9,5802.75,1146.06,medium-stable,0.5,0.2
50,15,30,5000,0,5000,5055.9,582.04,medium-stable,0.5,0.2
75,0,0,3742.7,170,3749.01,13782.2,1302.66,medium-stable,0.5,0.2
75,7,10,3962.99,61,4000,13042.75,1199.61,medium-stable,0.5,0.2
75,15,20,4479.49,320,4493.27,13155.1,3003.12,medium-stable,0.5,0.2
75,22,30,5000,0,5000,13097.95,1377.81,medium-stable,0.5,0.2
100,0,0,3695.27,124,3687.6,23665,2299.44,medium-stable,0.5,0.2
100,10,10,3966.6,93,4000,23713.5,2532.76,medium-stable,0.5,0.2
100,20,20,4425.07,287,4339.14,23618.9,3139.02,medium-stable,0.5,0.2
100,30,30,5000,0,5000,22444.25,2405.17,medium-stable,0.5,0.2
