nodeNum,byzantineNodeNum,byzantinePercentage,meanTime,stdTime,medianTime,meanMsgCount,stdMsgCount,networkProfile,networkMean,networkStd
4,0,0,4595.11,507,4870.39,24.95,4.48,slow-variable,1,0.5
4,0,10,4553.35,521,4865.1,26.3,4.24,slow-variable,1,0.5
4,0,20,4554.06,497,4837.12,25.9,3.24,slow-variable,1,0.5
4,1,30,5000,0,5000,17.25,5.28,slow-variable,1,0.5
10,0,0,4446.79,402,4350.9,225.1,30.97,slow-variable,1,0.5
10,1,10,4613.17,435,4701.03,201.8,45.33,slow-variable,1,0.5
10,2,20,4890.67,227,5000,155.2,19.62,slow-variable,1,0.5
10,3,30,4962.32,117,5000,120.25,27.84,slow-variable,1,0.5
20,0,0,4374,272,4402.13,973.1,137.44,slow-variable,1,0.5
20,2,10,4729.3,291,4770.08,869.4,102.82,slow-variable,1,0.5
20,4,20,4942.41,164,5000,717.05,101.38,slow-variable,1,0.5
20,6,30,5000,0,5000,541.2,79.18,slow-variable,1,0.5
36,0,0,4309.63,259,4271.94,3166.2,620.66,slow-variable,1,0.5
36,3,10,4760.12,216,4818.28,3143.7,358.52,slow-variable,1,0.5
36,7,20,4950.25,147,5000,2628.8,373.28,slow-variable,1,0.5
36,10,30,5000,0,5000,2148.4,266.02,slow-variable,1,0.5
50,0,0,4160.8,245,4051.91,5924.05,580.29,slow-variable,1,0.5
50,5,10,4708.35,272,4781.57,5800.65,811.43,slow-variable,1,0.5
50,10,20,4989.94,35,5000,5267.1,572.18,slow-variable,1,0.5
50,15,30,5000,0,5000,3807.9,490.96,slow-variable,1,0.5
75,0,0,4256.48,168,4258.07,13685.6,1154.69,slow-variable,1,0.5
75,7,10,4640.81,267,4668.84,13104,1514.39,slow-variable,1,0.5
75,15,20,5000,0,5000,12278.5,1030.81,slow-variable,1,0.5
75,22,30,5000,0,5000,8930.25,772.26,slow-variable,1,0.5
100,0,0,4172.91,166,4126.96,23719.55,1461.88,slow-variable,1,0.5
100,10,10,4605.08,292,4558.49,22744.25,2458.47,slow-variable,1,0.5
100,20,20,4996,11,5000,21691.95,1581.57,slow-variable,1,0.5
100,30,30,5000,0,5000,15766.85,1361.83,slow-variable,1,0.5
