nodeNum,byzantineNodeNum,byzantinePercentage,meanTime,stdTime,medianTime,meanMsgCount,stdMsgCount,networkProfile,networkMean,networkStd
4,0,0,4899.78,249,5000,24.75,3.77,very-slow-unstable,2,1
4,0,10,4952.48,150,5000,26.6,3.78,very-slow-unstable,2,1
4,0,20,4962.93,155,5000,24.6,5.09,very-slow-unstable,2,1
4,1,30,5000,0,5000,12.95,2.82,very-slow-unstable,2,1
10,0,0,4964.29,142,5000,203.05,22.32,very-slow-unstable,2,1
10,1,10,5000,0,5000,166.85,25.88,very-slow-unstable,2,1
10,2,20,5000,0,5000,121.85,15.83,very-slow-unstable,2,1
10,3,30,5000,0,5000,86.6,12.89,very-slow-unstable,2,1
20,0,0,5000,0,5000,890.55,77.07,very-slow-unstable,2,1
20,2,10,5000,0,5000,679.15,64.3,very-slow-unstable,2,1
20,4,20,5000,0,5000,534.6,48.39,very-slow-unstable,2,1
20,6,30,5000,0,5000,388.65,35.7,very-slow-unstable,2,1
36,0,0,5000,0,5000,2970.4,199.92,very-slow-unstable,2,1
36,3,10,5000,0,5000,2349,168.91,very-slow-unstable,2,1
36,7,20,5000,0,5000,1790.8,143.31,very-slow-unstable,2,1
36,10,30,5000,0,5000,1359.9,83.9,very-slow-unstable,2,1
50,0,0,5000,0,5000,5704.5,389.21,very-slow-unstable,2,1
50,5,10,5000,0,5000,4493.35,240.87,very-slow-unstable,2,1
50,10,20,5000,0,5000,3379.8,229.28,very-slow-unstable,2,1
50,15,30,5000,0,5000,2512.8,105.42,very-slow-unstable,2,1
75,0,0,5000,0,5000,12900.3,545.89,very-slow-unstable,2,1
75,7,10,5000,0,5000,10359.65,575.3,very-slow-unstable,2,1
75,15,20,5000,0,5000,7708.2,259.38,very-slow-unstable,2,1
75,22,30,5000,0,5000,5772.05,238.75,very-slow-unstable,2,1
100,0,0,5000,0,5000,22767.7,1042.51,very-slow-unstable,2,1
100,10,10,5000,0,5000,18123.9,836.75,very-slow-unstable,2,1
100,20,20,5000,0,5000,13899.8,478.88,very-slow-unstable,2,1
100,30,30,5000,0,5000,10398.9,370.62,very-slow-unstable,2,1
